dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Cubic SVM,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Cubic SVM,LIPOMA,BENIGN,1.0,0.0,5,26
BW,Cubic SVM,LYMPHOMA,MALIGNANT,0.0,0.0,2,3
BW,Cubic SVM,MERKEL,MALIGNANT,0.0,,1,1
BW,Cubic SVM,METASTASIS,MALIGNANT,0.0,0.0,3,4
BW,Cubic SVM,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Cubic SVM,OSTEOMA,BENIGN,1.0,,1,1
BW,Cubic SVM,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Cubic SVM,SCC,MALIGNANT,0.13333333333333333,0.1632993161855452,4,11
BW,Cubic SVM,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Cubic SVM,SEBK,BENIGN,0.7916666666666666,0.25,4,7
BW,Cubic SVM,SK,BENIGN,0.0,,1,1
BW,Cubic SVM,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Fine Gaussian SVM,AK,MALIGNANT,0.0,0.0,4,5
BW,Fine Gaussian SVM,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Fine Gaussian SVM,BCC,MALIGNANT,0.025,0.05590169943749475,5,31
BW,Fine Gaussian SVM,CYST,BENIGN,0.9550000000000001,0.06224949798994364,5,40
BW,Fine Gaussian SVM,DERMATOFIBROMA,BENIGN,1.0,0.0,5,21
BW,Fine Gaussian SVM,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,FIBROFOLLICULOMA,BENIGN,0.5,0.7071067811865476,2,2
BW,Fine Gaussian SVM,FIBROMA,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,KA,MALIGNANT,0.0,,1,1
BW,Fine Gaussian SVM,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Fine Gaussian SVM,LIPOMA,BENIGN,1.0,0.0,5,26
BW,Fine Gaussian SVM,LYMPHOMA,MALIGNANT,0.0,0.0,2,3
BW,Fine Gaussian SVM,MERKEL,MALIGNANT,0.0,,1,1
BW,Fine Gaussian SVM,METASTASIS,MALIGNANT,0.0,0.0,3,4
BW,Fine Gaussian SVM,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Fine Gaussian SVM,OSTEOMA,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,SCC,MALIGNANT,0.0,0.0,4,11
BW,Fine Gaussian SVM,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Fine Gaussian SVM,SEBK,BENIGN,1.0,0.0,4,7
BW,Fine Gaussian SVM,SK,BENIGN,1.0,,1,1
BW,Fine Gaussian SVM,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Fine KNN,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Fine KNN,ANGIOMA,BENIGN,0.75,0.3535533905932738,2,3
BW,Fine KNN,BCC,MALIGNANT,0.5399999999999999,0.20330600909302537,5,31
BW,Fine KNN,CYST,BENIGN,0.8708730158730159,0.026399478720125925,5,40
BW,Fine KNN,DERMATOFIBROMA,BENIGN,0.8414285714285714,0.1711605046947073,5,21
BW,Fine KNN,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Fine KNN,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Fine KNN,FIBROMA,BENIGN,1.0,,1,1
BW,Fine KNN,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Fine KNN,KA,MALIGNANT,0.0,,1,1
BW,Fine KNN,LEIOMYOMA,BENIGN,0.3333333333333333,0.4714045207910317,2,4
BW,Fine KNN,LIPOMA,BENIGN,0.9,0.149071198499986,5,26
BW,Fine KNN,LYMPHOMA,MALIGNANT,1.0,0.0,2,3
BW,Fine KNN,MERKEL,MALIGNANT,0.0,,1,1
BW,Fine KNN,METASTASIS,MALIGNANT,0.6666666666666666,0.5773502691896258,3,4
BW,Fine KNN,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Fine KNN,OSTEOMA,BENIGN,1.0,,1,1
BW,Fine KNN,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Fine KNN,SCC,MALIGNANT,0.5666666666666667,0.41633319989322654,4,11
BW,Fine KNN,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Fine KNN,SEBK,BENIGN,0.375,0.47871355387816905,4,7
BW,Fine KNN,SK,BENIGN,0.0,,1,1
