dataset,model,k_features,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
Doppler,Cosine KNN,20,0.813707729468599,0.06128646958579557,0.7592063492063492,0.08599102884647962,0.6666666666666667,0.09128709291752769,0.8061594202898551,0.10954978420559165,0.6573655103066868,0.137531236735203,0.6556781609195402,0.10174832104258431
Doppler,Weighted KNN,20,0.8247735507246376,0.07847293667993863,0.7534920634920634,0.0736627658578072,0.6,0.097182531580755,0.8311594202898551,0.09032863754050752,0.6668831168831169,0.145198222681053,0.6234462242562929,0.09581016765647238
Doppler,Boosted Trees,20,0.763239734299517,0.09499043237699187,0.7476190476190476,0.06693257626659874,0.5833333333333333,0.07453559924999298,0.8307971014492754,0.10227151264079647,0.6678388278388279,0.14221559712997134,0.6125649477228424,0.07432445883278797
Doppler,Bagged Trees,20,0.819836956521739,0.08180448372986296,0.7366666666666666,0.08086269541762803,0.55,0.1130388330520878,0.8315217391304348,0.0945784043223779,0.6428571428571429,0.15091557309993436,0.5856827383143173,0.11727739561843943
Doppler,Subspace Discriminant,20,0.8194142512077296,0.07004163251122471,0.7760317460317461,0.06630362222367527,0.5833333333333334,0.10540925533894598,0.8739130434782609,0.09438805660672168,0.7325757575757577,0.14220647439214926,0.6370642883686362,0.09199460160644958
Doppler,Subspace KNN,20,0.8259208937198068,0.07385324333886642,0.7480952380952381,0.09620750019607793,0.6,0.097182531580755,0.8231884057971014,0.12093310636496883,0.669120879120879,0.17234903630475953,0.6226592238171186,0.11218369379598954
Doppler,RUSBoosted Trees,20,0.763239734299517,0.09499043237699187,0.7476190476190476,0.06693257626659874,0.5833333333333333,0.07453559924999298,0.8307971014492754,0.10227151264079647,0.6678388278388279,0.14221559712997134,0.6125649477228424,0.07432445883278797
BW+Doppler,Simple Tree,20,0.7427989130434783,0.08853076631446269,0.725873015873016,0.0932485307431955,0.6500000000000001,0.12247448713915891,0.7652173913043478,0.14428571651386038,0.6168109668109668,0.15670962452695206,0.6200415526502483,0.1051362614570302
BW+Doppler,Medium Tree,20,0.6699275362318841,0.11992917814892497,0.6917460317460317,0.13440667747872215,0.6,0.14337208778404378,0.7398550724637681,0.18597088799735478,0.5829059829059828,0.19059254140269327,0.5755151515151515,0.14786660533575516
BW+Doppler,Complex Tree,20,0.6699275362318841,0.11992917814892497,0.6917460317460317,0.13440667747872215,0.6,0.14337208778404378,0.7398550724637681,0.18597088799735478,0.5829059829059828,0.19059254140269327,0.5755151515151515,0.14786660533575516
BW+Doppler,Linear Discriminant Analysis,20,0.7741847826086957,0.09390962570941368,0.7307936507936509,0.0679457789253441,0.4999999999999999,0.11785113019775792,0.8485507246376811,0.10647859719875948,0.6587301587301588,0.15983740793871878,0.5553884711779448,0.09971788271324876
BW+Doppler,Quadratic Discriminant Analysis,20,0.7886171497584542,0.0972282888106349,0.7476190476190477,0.09046365827992894,0.7000000000000001,0.13540064007726602,0.7721014492753623,0.10907181288247408,0.6247436773752563,0.1369253186647233,0.6534469737835796,0.11746390772707938
BW+Doppler,Logistic Regression,20,0.7842089371980676,0.10706547283293463,0.759047619047619,0.06539335789851781,0.5333333333333334,0.08498365855987973,0.8739130434782609,0.0867191809296237,0.7105494505494506,0.15806705863257994,0.6009952153110047,0.09049296046328152
BW+Doppler,Linear SVM,20,0.7717693236714978,0.09979220560503162,0.7419047619047618,0.029828602512366673,0.4,0.062360956446232366,0.9163043478260869,0.07433631292046666,0.7607575757575759,0.1605177001073409,0.5095765842568911,0.028162054676867672
