dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Boosted Trees,20,0.7264492753623187,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,4
BW,Bagged Trees,20,0.8003472222222222,0.7222222222222222,0.5833333333333334,0.7916666666666666,0.5833333333333334,0.5833333333333334,19,5,5,7,0
BW,Bagged Trees,20,0.65625,0.6388888888888888,0.75,0.5833333333333334,0.47368421052631576,0.5806451612903226,14,10,3,9,1
BW,Bagged Trees,20,0.6319444444444444,0.6388888888888888,0.4166666666666667,0.75,0.45454545454545453,0.43478260869565216,18,6,7,5,2
BW,Bagged Trees,20,0.7590579710144927,0.7142857142857143,0.5,0.8260869565217391,0.6,0.5454545454545454,19,4,6,6,3
BW,Bagged Trees,20,0.7373188405797101,0.7142857142857143,0.5833333333333334,0.782608695652174,0.5833333333333334,0.5833333333333334,18,5,5,7,4
BW,Subspace Discriminant,20,0.8090277777777778,0.7222222222222222,0.4166666666666667,0.875,0.625,0.5,21,3,7,5,0
BW,Subspace Discriminant,20,0.6319444444444444,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,1
BW,Subspace Discriminant,20,0.6875,0.6388888888888888,0.3333333333333333,0.7916666666666666,0.4444444444444444,0.38095238095238093,19,5,8,4,2
BW,Subspace Discriminant,20,0.782608695652174,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,3
BW,Subspace Discriminant,20,0.7934782608695653,0.7714285714285715,0.5,0.9130434782608695,0.75,0.6,21,2,6,6,4
BW,Subspace KNN,20,0.859375,0.75,0.4166666666666667,0.9166666666666666,0.7142857142857143,0.5263157894736842,22,2,7,5,0
BW,Subspace KNN,20,0.6388888888888888,0.6388888888888888,0.5,0.7083333333333334,0.46153846153846156,0.48,17,7,6,6,1
BW,Subspace KNN,20,0.7256944444444444,0.6944444444444444,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.47619047619047616,20,4,7,5,2
BW,Subspace KNN,20,0.7971014492753623,0.7142857142857143,0.5,0.8260869565217391,0.6,0.5454545454545454,19,4,6,6,3
BW,Subspace KNN,20,0.7210144927536232,0.7142857142857143,0.4166666666666667,0.8695652173913043,0.625,0.5,20,3,7,5,4
