k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
5,BW+Doppler,Linear Discriminant Analysis,0.8002415458937197,0.07382511257510468,0.7644444444444444,0.046693114198779355,0.55,0.08498365855987974,0.8735507246376812,0.07374234338091913,0.7079365079365079,0.12155041091477235,0.6112974744553691,0.07044634658647868
5,BW+Doppler,Quadratic Discriminant Analysis,0.8007850241545894,0.08876331981193603,0.7361904761904762,0.05034674427015301,0.5166666666666666,0.08164965809277258,0.8481884057971014,0.0889372833499553,0.6614285714285714,0.1331495331795836,0.5700291131870079,0.060883792003474255
5,BW+Doppler,Logistic Regression,0.7833635265700483,0.08796705081573945,0.7703174603174604,0.06251752084977716,0.5666666666666667,0.09718253158075499,0.8739130434782607,0.09438805660672168,0.7242063492063492,0.14901752658675002,0.6255269486848434,0.08868045934588153
5,BW+Doppler,Linear SVM,0.7892512077294687,0.08984925886016183,0.7646031746031746,0.049470871176745465,0.5166666666666667,0.097182531580755,0.8909420289855072,0.08523661421758037,0.7384920634920634,0.14358500642140537,0.5957419188998136,0.07542859784202219
5,BW+Doppler,Quadratic SVM,0.6059178743961353,0.022740458718795774,0.6911111111111111,0.023363008879967125,0.13333333333333333,0.08498365855987976,0.975,0.049999999999999996,0.7,0.4,0.21172161172161172,0.12158523918373475
5,BW+Doppler,Cubic SVM,0.7785929951690822,0.07607818559982613,0.7193650793650794,0.04507657044769241,0.31666666666666665,0.08164965809277261,0.925,0.08079466429027217,0.7738888888888888,0.21616466060350187,0.42745098039215684,0.08323335103270078
5,BW+Doppler,Fine Gaussian SVM,0.5941123188405798,0.17336210350981363,0.6573015873015873,0.04421254694235855,0.05,0.06666666666666668,0.9663043478260869,0.04865875931652042,0.3,0.39999999999999997,0.08571428571428572,0.11428571428571428
5,BW+Doppler,Medium Gaussian SVM,0.8056763285024153,0.05139021936094518,0.7647619047619048,0.06284110746239303,0.55,0.08498365855987973,0.8742753623188406,0.10147256461458044,0.7309523809523809,0.16172083390186262,0.6141880341880341,0.07900062463285173
5,BW+Doppler,Coarse Gaussian SVM,0.7927234299516908,0.0707678844168854,0.7479365079365079,0.07050657145823835,0.5,0.07453559924999299,0.8742753623188406,0.1143436012518321,0.7175396825396826,0.17138675268884848,0.5763686995265942,0.08018525644893695
5,BW+Doppler,Fine KNN,0.6610507246376812,0.06000835725595818,0.6915873015873016,0.07042433384620714,0.5666666666666667,0.03333333333333335,0.7554347826086956,0.09457840432237791,0.5572727272727274,0.10977228286920937,0.5582711169667692,0.06900140648813397
