dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error
BW,RUSBoosted Trees,0.7242424242424242,0.07011599743534118,0.7485714285714286,0.0574052305730064,0.5363636363636364,0.1012320793241822,0.8521739130434783,0.044339300118198095,0.6383838383838383,0.10830242548428454,0.5815584415584415,0.10043722934393594,
Doppler,Simple Tree,0.5910737812911726,0.12115652545825627,0.6554621848739497,0.08745150077813581,0.5196969696969698,0.1606060606060606,0.7217391304347827,0.06507230237867723,0.4734465534465534,0.12491789717030967,0.49349783549783555,0.1364463169944051,
Doppler,Medium Tree,0.5811923583662714,0.09632965560664217,0.6082352941176471,0.06815410991981291,0.5015151515151515,0.1810843777979232,0.6608695652173914,0.0325361511893386,0.4073018648018648,0.09257696811607602,0.4468531468531468,0.12702433559945325,
Doppler,Complex Tree,0.5811923583662714,0.09632965560664217,0.6082352941176471,0.06815410991981291,0.5015151515151515,0.1810843777979232,0.6608695652173914,0.0325361511893386,0.4073018648018648,0.09257696811607602,0.4468531468531468,0.12702433559945325,
Doppler,Linear Discriminant Analysis,0.713175230566535,0.07066715185620501,0.7247058823529411,0.09682860396965765,0.6954545454545455,0.0949118773537323,0.7391304347826086,0.10649955403405123,0.578916083916084,0.1289351771856242,0.6288049728049728,0.11024332699926198,
Doppler,Quadratic Discriminant Analysis,,,,,,,,,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 92 samples and 465 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization."
Doppler,Logistic Regression,0.7725296442687746,0.030465566280700622,0.7198319327731092,0.07977547760559923,0.556060606060606,0.15178763377415994,0.8,0.09760845356801588,0.6009090909090908,0.15440754393328004,0.5633549740966621,0.110438078550526,
Doppler,Linear SVM,0.7349143610013176,0.06681491845613012,0.7252100840336135,0.03460716013777139,0.3212121212121212,0.16773760609815813,0.9217391304347826,0.057680431136615654,0.693939393939394,0.16497766774322667,0.4123520923520923,0.13321826834772285,
Doppler,Quadratic SVM,0.7227931488801055,0.0356910162759816,0.6726050420168067,0.020144243632232113,0.05454545454545454,0.07272727272727272,0.9739130434782608,0.02129991080681023,0.2333333333333333,0.29059326290271154,0.0879120879120879,0.11546308164012041,
Doppler,Cubic SVM,0.7346508563899868,0.0676422034381478,0.6724369747899159,0.022800225723847555,0.1424242424242424,0.09171361182073669,0.9304347826086955,0.0347826086956522,0.4333333333333333,0.23475755815545343,0.20910256410256406,0.125924849488122,
Doppler,Fine Gaussian SVM,0.4913043478260869,0.048466944050495904,0.6608403361344538,0.022857142857142864,0.0,0.0,0.9826086956521738,0.034782608695652195,0.0,0.0,0.0,0.0,
Doppler,Medium Gaussian SVM,0.8250329380764164,0.04869063277976746,0.7838655462184874,0.059452578899260144,0.5196969696969698,0.1260037750684351,0.9130434782608695,0.047628048478710105,0.7453968253968254,0.11080047279674787,0.6069998525726079,0.11592458671053571,
Doppler,Coarse Gaussian SVM,0.7918313570487484,0.08698446470825313,0.7315966386554622,0.058952080422774646,0.3954545454545455,0.09917011013305194,0.8956521739130434,0.04433930011819813,0.6528571428571428,0.13549606515862148,0.4894736842105264,0.10664460631630285,
Doppler,Fine KNN,0.7322134387351779,0.05718945547143692,0.7489075630252101,0.04512659812195983,0.6818181818181819,0.10756508696544757,0.7826086956521741,0.038888138739126804,0.6034498834498834,0.055841864707208595,0.637736900780379,0.07225172646808477,
Doppler,Medium KNN,0.7865942028985508,0.0670297866989115,0.7077310924369747,0.024432836333075723,0.6272727272727273,0.092709445701687,0.7478260869565216,0.017391304347826122,0.5453546453546453,0.026322112376222895,0.5813623188405798,0.05289704980995571,
Doppler,Coarse KNN,0.8148550724637682,0.08250527259329334,0.6726050420168068,0.0077310924369748055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
Doppler,Cosine KNN,0.7879446640316206,0.05769126415974366,0.7425210084033613,0.06057325657805487,0.6257575757575757,0.08403287650825485,0.7999999999999999,0.06507230237867723,0.6099300699300699,0.09807018537618506,0.6151515151515151,0.08221006040151842,
Doppler,Weighted KNN,0.8057971014492754,0.06277053737388277,0.7194957983193276,0.04241625253273771,0.5727272727272728,0.09791208740244554,0.791304347826087,0.042599821613620484,0.5724675324675325,0.06778872459579224,0.5700101637492943,0.07207809869209782,
Doppler,Boosted Trees,0.6973649538866931,0.10923338859070181,0.6726050420168066,0.07708516544345946,0.5378787878787878,0.12177897756006135,0.7391304347826086,0.08695652173913042,0.5090043290043289,0.11240996430459851,0.5182284382284382,0.10350095540520593,
