dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Linear Discriminant Analysis,0.7470355731225297,0.8235294117647058,0.7272727272727273,0.8695652173913043,0.7272727272727273,0.7272727272727273,20,3,3,8,4
Doppler,Logistic Regression,0.7717391304347826,0.6285714285714286,0.4166666666666667,0.7391304347826086,0.45454545454545453,0.43478260869565216,17,6,7,5,0
Doppler,Logistic Regression,0.8300395256916996,0.7647058823529411,0.8181818181818182,0.7391304347826086,0.6,0.6923076923076923,17,6,2,9,1
Doppler,Logistic Regression,0.7470355731225297,0.6176470588235294,0.45454545454545453,0.6956521739130435,0.4166666666666667,0.43478260869565216,16,7,6,5,2
Doppler,Logistic Regression,0.7667984189723319,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,3
Doppler,Logistic Regression,0.7470355731225296,0.7941176470588235,0.45454545454545453,0.9565217391304348,0.8333333333333334,0.5882352941176471,22,1,6,5,4
Doppler,Linear SVM,0.7536231884057971,0.7142857142857143,0.3333333333333333,0.9130434782608695,0.6666666666666666,0.4444444444444444,21,2,8,4,0
Doppler,Linear SVM,0.849802371541502,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,1
Doppler,Linear SVM,0.6521739130434783,0.7058823529411765,0.18181818181818182,0.9565217391304348,0.6666666666666666,0.2857142857142857,22,1,9,2,2
Doppler,Linear SVM,0.7272727272727273,0.6764705882352942,0.18181818181818182,0.9130434782608695,0.5,0.26666666666666666,21,2,9,2,3
Doppler,Linear SVM,0.691699604743083,0.7647058823529411,0.2727272727272727,1.0,1.0,0.42857142857142855,23,0,8,3,4
Doppler,Quadratic SVM,0.6811594202898551,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,0
Doppler,Quadratic SVM,0.7628458498023716,0.7058823529411765,0.18181818181818182,0.9565217391304348,0.6666666666666666,0.2857142857142857,22,1,9,2,1
